lat_bin,lon_bin,zone_count,zone_avg_mag,zone_max_mag,zone_std_mag,zone_avg_depth,zone_avg_plate,zone_rate
-56.0,-2.0,3,6.466666666666666,7.1,0.6506407098647708,11.666666666666666,0.949339565466368,0.057692307692307696
-56.0,146.0,13,5.769230769230769,6.4,0.34733416998767264,16.46153846153846,0.8774759659544404,0.25
-56.0,148.0,18,5.883333333333334,6.4,0.20934070175616748,10.88888888888889,0.9545331129287126,0.34615384615384615
-56.0,158.0,3,6.866666666666667,7.3,0.5859465277082314,19.666666666666668,0.96638709909938,0.057692307692307696
-56.0,160.0,1,6.1,6.1,0.0,10.0,0.7224569161107688,0.019230769230769232
-54.0,-146.0,2,5.75,5.8,0.0707106781186545,9.5,0.6417273701653731,0.038461538461538464
-54.0,-138.0,1,6.3,6.3,0.0,10.0,0.8835300613991319,0.019230769230769232
-54.0,-136.0,27,5.818518518518518,6.4,0.3076424461024107,10.851851851851851,0.8438343735347483,0.5192307692307693
-54.0,-134.0,8,5.9125,6.3,0.3136763573220927,10.0,0.9295874249372009,0.15384615384615385
-54.0,-132.0,14,5.942857142857143,6.7,0.310617959048598,14.728571428571428,0.9434555661800322,0.2692307692307692
-54.0,-130.0,6,5.533333333333334,5.6,0.051639777949432156,10.523333333333333,0.9042382974501777,0.11538461538461539
-54.0,-128.0,1,5.5,5.5,0.0,10.0,0.8782088026130732,0.019230769230769232
-54.0,-120.0,2,5.75,6.0,0.3535533905932738,10.0,0.9222915955438307,0.038461538461538464
-54.0,-118.0,9,5.611111111111111,5.8,0.1269295517643985,12.555555555555555,0.9380080137423215,0.17307692307692307
-54.0,-64.0,1,7.2,7.2,0.0,10.0,0.9196126236093213,0.019230769230769232
-54.0,-56.0,4,5.95,7.0,0.704745817062199,10.445,0.857900195705317,0.07692307692307693
-54.0,-54.0,2,5.8,6.0,0.2828427124746193,12.42,0.8598153993724549,0.038461538461538464
-54.0,-52.0,4,5.9,6.6,0.4966554808583777,15.75,0.8284495203523892,0.07692307692307693
-54.0,-46.0,3,5.833333333333333,6.1,0.2516611478423584,10.0,0.9243108497721796,0.057692307692307696
-54.0,-38.0,1,5.8,5.8,0.0,10.0,0.9083503027475718,0.019230769230769232
-54.0,-32.0,1,5.8,5.8,0.0,5.96,0.752973254635131,0.019230769230769232
-54.0,-30.0,1,5.8,5.8,0.0,33.0,0.8726095803202379,0.019230769230769232
-54.0,-28.0,2,5.8,6.0,0.2828427124746193,37.3,0.807750750771381,0.038461538461538464
-54.0,-26.0,1,5.7,5.7,0.0,33.0,0.888517576465476,0.019230769230769232
-54.0,-4.0,2,5.85,5.9,0.07071067811865545,10.0,0.9230534601120914,0.038461538461538464
-54.0,-2.0,3,5.666666666666667,5.8,0.15275252316519475,17.666666666666668,0.9615064562806171,0.057692307692307696
-54.0,-0.0,3,5.666666666666667,5.8,0.15275252316519472,17.666666666666668,0.9874503052298426,0.057692307692307696
-54.0,2.0,10,6.029999999999999,6.6,0.411096095821889,10.1,0.9401773384520888,0.19230769230769232
-54.0,4.0,1,5.7,5.7,0.0,10.0,0.9657288450879122,0.019230769230769232
-54.0,6.0,9,5.811111111111111,6.2,0.27588242262078094,15.777777777777779,0.9558724035346461,0.17307692307692307
-54.0,8.0,8,6.0125,6.8,0.44860896112315896,13.2725,0.959652941663295,0.15384615384615385
-54.0,10.0,5,5.720000000000001,5.9,0.14832396974191348,10.0,0.9498448787217239,0.09615384615384616
-54.0,22.0,2,5.699999999999999,5.8,0.1414213562373093,21.5,0.9375907325611736,0.038461538461538464
-54.0,24.0,2,5.9,6.3,0.5656854249492382,15.0,0.962270483739766,0.038461538461538464
-54.0,26.0,4,5.6,5.7,0.11547005383792547,10.3225,0.9682936176491266,0.07692307692307693
-54.0,28.0,1,5.7,5.7,0.0,10.0,0.9453693984107152,0.019230769230769232
-54.0,74.0,1,5.7,5.7,0.0,10.0,0.07008693521460604,0.019230769230769232
-54.0,106.0,1,6.3,6.3,0.0,11.0,0.4571831204536086,0.019230769230769232
-54.0,140.0,5,5.58,5.8,0.13038404810405296,14.6,0.930011454667896,0.09615384615384616
-54.0,144.0,17,5.741176470588235,6.0,0.14602578338007555,15.264705882352942,0.9487956561694358,0.3269230769230769
-54.0,146.0,6,6.216666666666666,6.9,0.47504385762439527,14.0,0.8979223203569315,0.11538461538461539
-54.0,148.0,1,5.7,5.7,0.0,10.0,0.8862444360189676,0.019230769230769232
-54.0,158.0,12,5.916666666666667,6.7,0.4108380201343088,16.083333333333332,0.9410968413368374,0.23076923076923078
-54.0,160.0,11,5.790909090909091,6.4,0.34771984543464163,18.363636363636363,0.9583208547034516,0.21153846153846154
-52.0,-118.0,1,5.5,5.5,0.0,33.0,0.9302032876792992,0.019230769230769232
-52.0,-76.0,2,5.55,5.6,0.0707106781186545,33.0,0.9049104352216065,0.038461538461538464
-52.0,-74.0,3,6.266666666666667,7.0,0.6429100507328638,15.0,0.8249366037140698,0.057692307692307696
-52.0,-46.0,2,5.75,6.0,0.3535533905932738,10.0,0.9518266014638888,0.038461538461538464
-52.0,-12.0,1,5.6,5.6,0.0,10.0,0.5550587616696875,0.019230769230769232
-52.0,-4.0,2,5.6,5.6,0.0,10.0,0.8531890764017493,0.038461538461538464
-52.0,10.0,2,5.75,5.8,0.0707106781186545,10.0,0.9605079661198654,0.038461538461538464
-52.0,12.0,1,5.9,5.9,0.0,10.0,0.8980006007976012,0.019230769230769232
-52.0,14.0,1,5.8,5.8,0.0,10.0,0.9522606515524841,0.019230769230769232
-52.0,16.0,1,5.5,5.5,0.0,10.0,0.9611936383105092,0.019230769230769232
-52.0,18.0,6,5.633333333333333,5.8,0.12110601416389989,10.0,0.9702595839838786,0.11538461538461539
